,From,To,DateTime,Duration.seconds.,Cell.Tower
1,349,23,6/1/2006 0:08,1634,1
2,379,364,6/1/2006 0:11,640,24
3,392,27,6/1/2006 0:12,1182,29
4,17,339,6/1/2006 0:14,578,23
5,272,251,6/1/2006 0:15,887,29
6,282,13,6/1/2006 0:15,1015,19
7,28,5,6/1/2006 0:45,1175,22
8,209,71,6/1/2006 0:54,1120,28
9,80,120,6/1/2006 0:58,588,11
10,171,95,6/1/2006 1:00,1036,27
11,25,160,6/1/2006 1:01,708,29
12,96,13,6/1/2006 1:02,1008,6
13,289,2,6/1/2006 1:09,1046,11
14,357,341,6/1/2006 1:10,1043,25
15,358,392,6/1/2006 1:13,899,30
16,399,90,6/1/2006 1:18,1008,24
17,51,56,6/1/2006 1:22,1469,26
18,184,5,6/1/2006 1:38,985,13
19,314,250,6/1/2006 1:46,1388,17
20,356,61,6/1/2006 1:47,1333,15
21,286,92,6/1/2006 1:49,1091,11
22,142,18,6/1/2006 2:00,1077,11
23,83,104,6/1/2006 2:03,920,30
24,81,162,6/1/2006 2:04,1110,10
25,76,71,6/1/2006 2:06,1441,29
26,386,179,6/1/2006 2:09,1097,28
27,219,4,6/1/2006 2:14,1096,10
28,194,291,6/1/2006 2:17,847,19
29,376,20,6/1/2006 2:19,1239,13
30,189,361,6/1/2006 2:27,1130,11
31,335,65,6/1/2006 2:33,891,10
32,392,27,6/1/2006 2:35,876,29
33,146,322,6/1/2006 2:42,1076,1
34,283,37,6/1/2006 2:47,497,28
35,130,14,6/1/2006 2:57,800,28
36,224,71,6/1/2006 3:02,449,24
37,318,229,6/1/2006 3:02,1126,11
38,328,142,6/1/2006 3:07,1213,30
39,386,179,6/1/2006 3:14,679,11
40,108,7,6/1/2006 3:33,1403,28
41,13,199,6/1/2006 3:39,879,13
42,164,38,6/1/2006 3:46,1355,30
43,47,167,6/1/2006 3:47,1194,28
44,45,4,6/1/2006 3:55,1314,27
45,39,23,6/1/2006 3:58,902,10
46,3,200,6/1/2006 3:59,1129,30
47,239,28,6/1/2006 3:59,1377,18
48,335,65,6/1/2006 4:05,947,10
49,337,18,6/1/2006 4:07,1213,28
50,87,255,6/1/2006 4:14,1206,11
51,84,307,6/1/2006 4:17,1117,11
52,180,5,6/1/2006 4:20,395,10
